질문,답변,유형
사용 방법,얼굴형 분석을 위하여 메인 페이지의 ANALYSIS 메뉴를 누른 후 사진을 첨부하거나 웹캠 허용을 누른 후 얼굴이 잘 보이도록 한 후 캡쳐하세요.  분석 결과를 확인한 후 퍼스널컬러와 얼굴형을 참고하여 더 스마트한 그루밍족이 되어보세요.,0
웹 사용 방법,얼굴형 분석을 위하여 메인 페이지의 ANALYSIS 메뉴를 누른 후 사진을 첨부하거나 웹캠 허용을 누른 후 얼굴이 잘 보이도록 한 후 캡쳐하세요.  분석 결과를 확인한 후 퍼스널컬러와 얼굴형을 참고하여 더 스마트한 그루밍족이 되어보세요.,0
채팅,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
채팅은 어떻게 해?,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
채팅 하고 싶어,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
얼굴형 종류,"얼굴형은 기준에 따라 계란형, 둥근형, 역삼각형, 하트형, 장방형 등 다양하게 나눌 수 있습니다. allrange에서는 둥근형, 사각형, 장방형 3가지의 유형으로 분류되며, 이에 맞는 헤어스타일을 추천해드립니다.",1
얼굴형 유형은 어떤 게 있어?,"얼굴형은 기준에 따라 계란형, 둥근형, 역삼각형, 하트형, 장방형 등 다양하게 나눌 수 있습니다. allrange에서는 둥근형, 사각형, 장방형 3가지의 유형으로 분류되며, 이에 맞는 헤어스타일을 추천해드립니다.",1
얼굴형 자가진단,"allrange에서 얼굴형을 분석할 수 있습니다.",1
얼굴형 자가진단 하고싶어,"allrange에서 얼굴형을 분석할 수 있습니다.",1
얼굴형 분석은 어떻게 해?,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
얼굴형은 어떻게,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
